User-ID;ISBN;Book-Rating
277203;039480001X;9
277427;002542730X;10
277427;0061009059;9
277427;0316776963;8
277427;0345413903;10
277427;0385424736;9
277427;0385486804;9
277427;0385504209;8
277427;0399501487;9
277427;0425116840;8
277427;0440224764;7
277427;0446608890;10
277427;0452284449;6
277427;0552137030;8
277427;0553280368;9
277427;0679731148;9
277427;0743412028;9
277427;0811802981;10
277478;1558745718;8
277523;0316693200;10
277523;0385508042;10
277523;0385510438;10
277523;0440241537;10
277523;1558744150;10
277639;0380731851;6
277639;042516098X;5
277639;0440211727;8
277639;0440214041;9
277639;0553579754;7
277965;0316789089;5
277965;0385484518;10
277965;0399145087;7
277965;0679781587;9
277965;0684874350;10
277965;0786881852;7
278026;0061009059;8
278026;0380731851;5
278026;0449219364;6
278026;0449221512;5
278026;0515130389;8
278026;0671001795;8
278137;0345337662;7
278137;0440940001;8
278137;0446606812;7
278137;0804106304;8
278137;1558744150;9
278188;0156005891;8
278188;0373218192;7
278188;0373484003;7
278188;0440122090;4
278188;044022103X;8
278188;0440225701;9
278188;0446603589;9
278202;014025448X;2
278202;0385324057;3
278202;0385497466;3
278202;0743206029;8
278221;0553582755;9
278221;0804106304;9
278356;0312265859;7
278356;0439064872;8
278356;0439136369;10
278356;0439139600;10
278356;043935806X;10
278418;0394820371;8
278418;042513525X;5
278418;042518630X;7
278418;0515130389;8
278418;0515131229;8
278582;0312980140;7
278582;0312983298;3
278582;0312983867;7
278582;0312990456;5
278582;0345350499;10
278582;0449221512;8
278582;0671001795;8
278582;1400034779;10
278633;0060987561;10
278633;0140244824;7
278633;014028009X;2
278633;0142000205;7
278633;0316096199;8
278633;0316666343;9
278633;0316899984;7
278633;0375703063;7
278633;0440226430;9
278633;0446679593;8
278633;0449907481;6
278633;0451163524;5
278633;0671038184;8
278633;0684814994;10
278633;0688170528;8
278843;0060173289;9
278843;014028009X;8
278843;0142000205;9
278843;0399146431;9
278843;0440211263;7
278843;0553274503;8
278843;059035342X;8
278843;0786881852;8
242;0553278223;10
254;0064471047;7
254;0142001740;9
254;0380789035;10
254;0399146431;9
254;0439064864;9
254;0439064872;9
254;0439136350;9
254;0439136369;9
254;0439139597;9
254;0451167317;8
254;0451524934;9
254;0451526341;8
254;0590353403;9
254;0618002219;9
254;0618002227;8
254;0671021001;7
254;0679781587;8
507;0142001740;10
507;0553576801;7
507;0553583468;7
638;0316603287;9
638;0316666343;10
638;0316693006;10
638;0316693200;9
638;0316769487;10
638;0316776963;10
638;0316779423;10
638;0316789089;10
638;0316969443;10
638;0345339711;10
638;0385420161;9
638;0385504209;10
638;0385505833;10
638;0446531332;10
638;0670892963;7
638;0679746048;7
643;0552137030;8
643;0671894455;7
709;0316666343;3
709;0345391802;7
709;0440219078;10
805;0060928336;7
805;0156027321;9
805;0316777730;7
805;039592720X;9
805;0440215625;8
805;0452282152;8
805;0671003755;8
805;0877733759;10
882;0373484224;7
882;0380018179;10
882;0385504209;10
882;0515135062;6
882;0553250426;10
882;0553572997;10
882;0679429220;9
882;067976402X;10
882;0679781587;10
929;0440224624;6
929;0451169530;6
929;0553296981;10
929;0671617028;8
1025;0060928336;5
1025;0380012863;8
1025;0552124753;10
1025;0552998001;9
1025;068484267X;9
1025;0749397543;8
1131;0060934417;8
1131;0060976845;7
1131;0070212570;7
1131;0312243022;8
1131;0312983824;6
1131;0345370805;7
1131;0375703055;7
1131;0446672211;7
1131;0446673544;5
1131;0671793489;7
1131;0743418174;7
1211;0099771519;9
1211;0330367358;8
1211;0385504209;9
1248;0449912558;10
1424;0060930535;7
1424;0061015725;8
1424;0061097314;5
1424;0099771519;8
1424;0142001430;7
1424;0385720106;7
1424;0671776134;8
1424;0767902521;8
1424;0804106304;6
1435;0060915544;10
1435;0345378490;5
1435;0345387651;5
1435;0446672211;8
1435;0451183665;7
1435;0671024248;4
1435;068484267X;8
1435;0684848783;5
1435;080410753X;10
1435;0971880107;5
1435;155874262X;10
1674;0345384466;7
1674;0375725784;10
1674;038548951X;10
1674;0449912558;5
1733;0312983824;5
1733;051513287X;9
1733;059035342X;10
1733;0971880107;1
1848;0156027321;10
1848;0345342968;10
1848;0345378482;8
1848;0345417623;8
1848;0451169530;5
1848;0786868716;10
1848;0812511816;10
1848;0812550706;8
1903;0316777730;10
1903;0812550706;10
2030;0140298479;10
2033;0060248025;10
2033;0345337662;5
2033;0439064864;9
2033;0439136350;9
2033;0439139597;9
2033;043935806X;9
2033;051513628X;6
2033;0553573136;8
2033;0590353403;9
2110;0060987529;7
2110;0151008116;5
2110;0345314255;10
2110;0451137965;9
2110;059035342X;10
2179;0060392452;9
2179;0312263120;8
2179;0385504209;10
2179;0446532231;9
2179;0451524934;8
2179;0590353403;10
2179;0618002219;9
2276;0380002930;9
2276;0385505833;5
2276;0425172546;9
2276;0425182908;4
2276;0440221471;10
2276;0440236673;10
2276;0446609323;9
2276;0446612790;10
2276;0553576801;8
2276;0553582526;9
2276;0553583468;10
2276;0805063897;10
2313;0060173289;9
2313;0345348036;9
2313;0385482388;5
2313;0399146431;5
2313;0452260116;9
2313;0553278223;7
2766;0060958022;8
2766;0316666343;9
2766;0440211263;8
2766;0440219078;8
2766;0440221595;8
2766;0446310786;10
2766;0446516538;6
2766;0446611867;7
2766;0449005615;9
2766;0553279912;7
2766;0670030643;8
2766;0679751602;6
2766;0684801221;10
2766;0767902521;8
2766;0971880107;6
2766;1558745718;7
2891;0060928336;6
2891;0142001740;7
2891;0156027321;5
2891;0385482388;7
2891;038548951X;8
2891;0449912558;9
2891;0452260116;8
2891;0553211404;7
2891;0671003755;7
2891;0804106304;7
2891;140003065X;9
2891;1400032717;8
2977;0142001430;7
2977;0316569321;7
2977;037570504X;5
2977;0375725784;3
2977;0452282152;7
2977;0671021001;9
3167;0345337662;5
3167;0345370775;9
3167;034540288X;7
3167;0380012863;8
3167;0440219078;10
3167;0440998050;10
3167;0671004107;9
3167;080410526X;6
3167;0812550706;10
3346;0316666343;9
3346;0345413350;8
3346;0380789035;6
3346;0552131067;7
3346;0836218620;9
3363;0316096199;10
3363;0373250126;8
3363;0385722435;10
3363;0446672211;10
3363;0679751602;8
3371;0070212570;10
3371;0373484003;7
3371;0425175405;8
3371;0440226430;9
3371;0451169530;10
3371;0515122734;9
3371;0671004573;7
3373;0312291639;8
3373;0312995423;5
3373;0375727345;7
3373;0399149155;8
3373;0440236703;5
3373;0449003787;7
3373;0452264464;10
3373;0671027360;5
3373;0671027387;5
3556;0385504209;10
3556;0385508042;9
3556;0440439884;10
3556;044651652X;10
3556;0671027360;10
3827;014029628X;6
3827;0312274920;8
3827;0345337662;7
3827;0345348036;9
3827;0345351525;8
3827;034538475X;8
3827;0345409671;8
3827;0345413350;7
3827;0345423402;7
3827;0553562614;10
3827;0804114986;10
3917;0156007754;7
3917;031205436X;10
3917;0670892963;5
