User-ID;ISBN;Book-Rating
277427;002542730X;10
277427;0061009059;9
277427;0316776963;8
277427;0345413903;10
277427;0380702843;8
277427;0385424736;9
277427;0385486804;9
277427;0385503857;9
277427;0385504209;8
277427;039304016X;8
277427;0399501487;9
277427;0425116840;8
277427;0425133516;9
277427;0440224764;7
277427;0440236061;8
277427;0440236738;9
277427;0441627404;10
277427;0446350982;9
277427;0446608890;10
277427;0451191153;8
277427;0451203593;10
277427;0452284449;6
277427;0552137030;8
277427;0553280368;9
277427;0553571656;10
277427;0671528904;8
277427;0679731148;9
277427;0679736042;5
277427;0740723367;9
277427;0743406176;8
277427;0743412028;9
277427;0743457943;8
277427;0767903382;10
277427;0786866845;10
277427;0811802981;10
277427;0811811409;10
277427;0836217691;10
277427;0836218515;10
277427;0836221192;10
277523;0316603570;10
277523;0316693200;10
277523;0385508042;10
277523;0385510438;10
277523;0440241537;10
277523;0446530891;10
277523;0446613843;10
277523;0515133302;10
277523;0671886665;10
277523;0684835983;10
277523;0743206045;10
277523;1558744150;10
277945;0312974256;6
277945;0312983301;6
277945;0451203771;8
277945;0515121843;7
277945;051512317X;7
277945;0515124214;7
277945;0515134384;7
277945;0515136379;7
277945;0515136530;7
277945;0515137111;8
278026;0061009059;8
278026;0061031410;8
278026;0061094129;8
278026;0380731851;5
278026;0380820889;8
278026;038533558X;9
278026;0446527041;8
278026;0449006522;8
278026;0449219364;6
278026;0449221512;5
278026;0451206525;8
278026;0515130389;8
278026;0553582364;6
278026;0671001795;8
278026;0684810387;8
278026;0743206045;7
278194;0060926317;8
278194;0140280553;5
278194;0156011042;7
278194;0345423135;9
278194;0385498802;4
278194;0440241537;7
278194;0451209907;5
278194;0452284449;8
278194;051512219X;4
278194;0553582364;6
278194;0671683993;8
278194;0688177859;9
278194;0802139256;6
278535;0061094129;10
278535;0425178765;8
278535;0425182878;9
278535;0440221595;7
278535;0446605484;10
278535;0446610038;10
278535;0446611212;9
278535;0449003787;9
278535;0449219461;8
278535;0553213180;6
278582;0312980140;7
278582;0312983298;3
278582;0312983867;7
278582;0312990456;5
278582;0345350499;10
278582;0425191583;8
278582;0449221512;8
278582;0451202503;10
278582;0671001795;8
278582;1400034779;10
278633;0060987561;10
